,DeltaID,Delta,gridcode,MEAN_temp,dam_count,dam_area,basin_area,dam_area_percent,gauge,status,Climate_Code,Wave_H,Wave_T,Lon_gauge,Lat_gauge,gauge_area,gauge_R,gauge_stdv,Unnamed: 0,storage_fraction,Q_mean,elevrange,Forrest_p,Qs,Qr,RR,R_max,R_anomaly,p_val,p_val_anomaly,optimized_lag,Q_trend
0,1,Amazon,1452,24.681,7,2623.2,4853134.51,0.054051665,610238503.0,gauged,1,0.514444444,2.776868687,-55.5131,-1.9192,4671740.5,0.946486951585608,0.2094530966618888,0.0,5.231506140856533e-05,196639.8571072621,5183.929523706436,0.8527208481217087,1413.077342738805,197329.1149378495,139.6449500459679,-0.9089397326823517,-0.5278169318380992,1.3335489081954413e-30,6.841024451268607e-07,-1.0,-3423.466271841399
1,2,Amur,3376,2.0,6,2583.8,2334643.669,0.110672135,,ungauged,26,0.546084337,2.700662651,,,,,,1.0,0.0038155239257747,14316.63003686653,1998.3416879177094,0.5251285234824933,1621.6603767158736,1897.7573309079362,1.170255719481291,-0.6297213863688276,-0.5541987476640924,7.397166216903935e-07,2.4509220958882893e-05,1.0,-3273.9526892221097
2,3,Brahmani,2028,23.938,4,53.6,42942.7036,0.124817479,,ungauged,3,0.512334914,2.334714243,,,,,,,,2102.3901515290086,932.3971216678619,0.18807974863484814,1351.5083785556826,793.0390781793299,0.5867807338544415,-0.7824808952102418,0.13506033328784528,1.6538770205699878e-17,0.235324249355962,0.0,-552.5561864709342
3,4,Burdekin,2679,22.255,3,219.3,114107.4772,0.19218723,531279841.0,gauged,3,0.690379802,2.865580813,147.2438,-19.7646,129877.969,0.8905276267808286,0.0304310536383531,,,347.1211971143474,908.1033363342285,0.07674699736796613,2880.6893459051234,669.7135041634499,0.23248376473341084,-0.7195327106021607,-0.7095751989875059,7.98030671590906e-14,2.4775021433790485e-13,0.0,-17.053448502735424
4,5,Chao_Phraya,1355,25.462,10,725.8,131426.6058,0.55224739,,ungauged,3,0.581690982,2.567521683,,,,,,2.0,0.0015658289626567,1213.245794979491,1334.131353855133,0.3659761508565552,1868.1292814135775,1780.6430117834955,0.953169049647419,-0.7719274043257883,-0.33564398799267614,2.0706287848617418e-16,0.0028434418463848597,-2.0,35.65526096795194
5,6,Colorado,827,11.703,85,1486.2,630813.3929,0.235600578,700771465.0,gauged,4,0.530530276,2.422004088,-111.5896,36.8646,283217.656,0.3401288157540824,0.1840473407923322,3.0,0.0901378785175058,278.979082928763,3725.40079498291,0.14794048685690966,1480.4096216263752,3174.4453320350344,2.14430201321415,0.527110985330969,0.15650622804307884,9.987930591800767e-07,0.17697951669150475,3.0,6.365406159431704
6,7,Congo,365,23.45,5,411.4,3001319.196,0.013707306,,ungauged,3,0.472678327,2.311197449,,,,,,39.0,0.0001827770452641,58066.87951218282,3000.479376077652,0.5286049053300387,1111.6487261307939,58469.23341535481,52.59686089765326,-0.6898913505096952,-0.43367980276352974,2.8284715056001497e-12,7.295324508151796e-05,-1.0,-2336.1848958333335
7,8,Danube,5224,8.75,183,1256.1,931069.3805,0.134909388,210592462.0,gauged,7,0.481777942,2.327527417,13.5021,48.5813,76860.469,0.746381522828305,0.2041345739351033,4.0,0.0088762273142249,6619.884057667492,2888.6271120384336,0.3733491624861897,1165.343772382813,5967.248992815957,5.1205911373384225,-0.4597744520142327,0.03809170917094979,2.2882142100668928e-05,0.7405647343837574,1.0,-44.42700457829309
8,9,Dnieper,5379,7.414,6,5685.9,660958.8589,0.860250214,,ungauged,7,0.486941078,2.339205001,,,,,,5.0,0.0229559297626104,2851.445336192196,353.2577474117279,0.2270368098626274,1196.7393107453402,401.2560920893118,0.33529114359868883,0.3104077664614997,0.31034367129449103,0.006352957058918837,0.006364391522716277,3.0,-109.3936511624244
9,10,Ebro,1762,11.9,45,272.7,93352.53876,0.292118462,,ungauged,7,0.46148454,2.246699223,,,,,,6.0,0.0962147244593345,292.6133516631844,2457.863808631897,0.26412471771794427,1043.5870278575062,831.4554960804675,0.7967284700610483,-0.532149538760196,-0.12930938199403294,6.330712333508172e-07,0.26235628663992855,2.0,0.9545585878433703
10,11,Fly,1920,25.152,0,0.0,51900.95463,0.0,,ungauged,1,0.483772867,2.316981892,,,,,,,,31.741459002824303,3173.2190504074097,0.9559850585277733,1175.889882350368,849.7370749113693,0.7226332054264429,-0.7541161974481547,-0.584678459303093,1.5866954424944073e-15,1.9029130212460046e-08,-1.0,-2.20618071094636
11,12,Ganges,2327,17.346,79,2893.6,1436603.769,0.201419491,222222222.0,gauged,3,0.470032263,2.291242878,89.0267,24.0674,940708.812,0.4867656464918495,0.0567350526316824,7.0,0.0008357862896755,19620.765420134063,6394.4711758717895,0.19346839994963788,1094.8714733178326,45554.82709732853,41.607465540482046,-0.9127608480469153,-0.43498782309155215,1.1406686415331605e-31,6.175112722201734e-05,0.0,-1250.1940629200265
12,13,Godavari,1780,25.631,57,1969.1,266732.4295,0.738230444,,ungauged,3,0.461667576,2.294567205,,,,,,8.0,0.0430536369062098,4517.275774629578,1155.3397059440613,0.16035412288766202,1048.9943854266794,3323.8765854615076,3.168631435629198,-0.8037431162469844,-0.21949446079626875,8.20296662795315e-19,0.05350261291990502,1.0,-2059.809402301747
13,14,Grijalva,1215,21.741,1,5.4,71516.8325,0.00755067,,ungauged,2,0.476889362,2.321620867,,,,,,35.0,0.000516733677946,1186.2490113103588,3217.494348049164,0.6589376118574266,1136.5880679694826,2686.061454262282,2.363267334893756,-0.810251042189534,-0.7010560305424267,1.508983638305924e-19,6.293445802362562e-13,0.0,-23.041751656481022
14,15,Han,1675,10.0,14,194.4,36234.34596,0.536507545,,ungauged,21,0.467991157,2.265919462,,,,,,9.0,0.0608081418151436,473.8087953452831,979.0368156433105,0.6079914325524846,1081.089765198713,201.33356606188912,0.1862320526407744,-0.3190321107870076,-0.2572311681757242,0.004414400999743956,0.02299434361055928,1.0,-38.98111880722866
15,16,Hong,2069,20.255,3,258.1,124162.7286,0.207872365,,ungauged,11,0.476051747,2.287383901,,,,,,32.0,0.006378386306825,1752.5022945387511,2528.0797868967056,0.6513565791744529,1128.444783582517,2923.969209486414,2.591149564450621,-0.7940915480257861,-0.5624290949086376,4.195107434639189e-18,8.374820157488657e-08,-1.0,305.98289243636594
16,17,Indus,948,11.435,24,1079.4,805915.558,0.133934627,,ungauged,4,0.471444421,2.289995913,,,,,,11.0,0.0093266772589916,2323.4898754412593,6281.714105010033,0.037883384319706816,1102.6626207538527,11404.670215063858,10.342846488499696,0.49798348200987846,0.019094571219159952,3.4987768914161663e-06,0.8682111751225567,-1.0,559.5777194115423
17,18,Irrawaddy,2760,24.053,12,481.0,335146.0634,0.143519514,,ungauged,3,0.463130438,2.278422611,,,,,,12.0,0.0008465292793461,8822.103872695956,4788.480445384979,0.6627927154271424,1055.4978311706898,17833.28643574502,16.89561637086975,-0.9267931378778935,-0.3857914969909499,4.665666852150419e-34,0.0004861312325813073,1.0,167.45328776041666
18,19,Krishna,1686,25.586,58,3076.5,218780.4304,1.406204382,,ungauged,3,0.461667576,2.294567205,,,,,,13.0,0.0574210604727111,2412.936802238743,1251.3987345695496,0.04736924396745014,1048.9943854266794,2679.856687244501,2.5546911637229277,-0.716978474800126,-0.31055794861721975,2.2345298973795083e-13,0.005979852284077,2.0,-902.3229107600387
19,20,Lena,1923,2.0,3,2107.9,1452531.866,0.145119019,,ungauged,29,,,,,,,,14.0,2.02248007172012e-05,14103.704178958453,2241.265310138464,0.4846344414239083,,1671.088193826998,,,,,,,0.5602056031584652
20,21,Limpopo,1069,21.014,101,541.7,360247.1634,0.150368984,,ungauged,3,0.479705445,2.299743071,,,,,,15.0,0.0237134556525293,235.75930978035615,2077.2522418498993,0.08771027783159517,1150.5818755590356,2279.7308474076763,1.9813721177382695,0.38790793018617764,0.15621286358773445,0.0004120783293821911,0.16920096764146628,0.0,8.534300978465746
21,22,Mackenzie,223,2.0,13,1845.0,2984032.758,0.06182908,810394845.0,gauged,19,,,-126.85,65.272,1583103.875,0.6577798009425194,0.179751384953476,16.0,0.0002481045666834,7282.92256117247,2690.416697382927,0.5093723943606562,,2342.534985480001,,-0.7727368044737686,-0.06281916925415534,7.32474827062562e-17,0.5823241625055836,0.0,-639.0739457325268
22,23,Magdalena,586,22.614,12,230.1,212343.0839,0.108362371,,ungauged,3,0.533020297,2.408588629,,,,,,17.0,0.0020863370920148,7806.002810742295,4369.916909456253,0.515957545171237,1495.477999768608,11725.800691067056,7.840837974802279,-0.7763173825448418,-0.5911924766202887,6.827684797968609e-17,1.207078240116332e-08,-1.0,-1137.9842437415994
23,24,Mahakam,2740,24.75,0,0.0,61957.33545,0.0,,ungauged,1,0.510772329,2.321057825,,,,,,,,4862.6046690559515,1470.4500212669373,0.9596431725448178,1340.0634710172353,2014.2862976558092,1.5031275318077097,-0.7100574399741535,-0.6211229511110659,3.3554855325634677e-13,1.3013859818651612e-09,-1.0,-1131.149627357401
24,25,Mahanadi,2031,24.34,20,864.8,118386.8127,0.730486767,,ungauged,3,0.512334914,2.334714243,,,,,,18.0,0.0137331812659265,2120.832329710985,1016.2926123142242,0.193768558783422,1351.5083785556826,1463.2817400901179,1.0827026774735087,-0.7834829201331773,0.12491207498356524,1.413071985139344e-17,0.27270741827315986,0.0,-550.0214870001681
25,26,Mekong,2047,21.201,20,1598.3,669927.9491,0.238577895,,ungauged,3,0.519950819,2.358987039,,,,,,19.0,0.0009957360671355,11233.91147796217,5323.4310131073,0.5059360233114671,1403.127253804932,26628.494700426934,18.97796128484931,-0.8099769323639726,-0.5130000079820171,1.5864654567592624e-19,1.3383920342714278e-06,0.0,461.1056262600808
26,27,Mississippi,1825,9.7,628,14642.0,3196317.256,0.458089696,750257402.0,gauged,14,0.513868355,2.34800721,-90.9062,32.3146,2933157.25,0.7588906646996703,0.2038869977724851,20.0,0.0117685903695593,27074.626468035392,3775.3749428093433,0.16666537783423863,1362.7835789659866,24789.690952364144,18.190482579173242,-0.8248342036597255,-0.6661736413226336,2.945848279564159e-20,3.7940084280005514e-11,2.0,-147.0363848286291
27,28,Moulouya,1442,13.087,2,17.5,52882.91735,0.033091972,,ungauged,6,0.511578393,2.348177589,,,,,,,,44.994235446315734,2823.6841101646423,0.007255313265363149,1348.2733839093105,442.49924035786955,0.3281969707618537,0.4439789052909737,0.5997813601043338,4.668605887058651e-05,6.520805736756098e-09,-1.0,8.22904783679593
28,29,Niger,1975,27.18,55,3203.2,1698415.856,0.188599276,,ungauged,2,0.498618472,2.333269795,,,,,,21.0,0.0005260397201457,21783.416557366043,2038.1173541545868,0.04639885653392091,1266.1337154575936,25552.870776882915,20.181810550434516,-0.8343302857093707,-0.30082680275014895,2.397470177133288e-21,0.007445521736155073,1.0,-3343.717290406586
29,30,Nile,878,25.885,9,74032.0,2568322.257,2.88250432,,ungauged,4,0.501339468,2.324296504,,,,,,22.0,0.0007734121969524,15196.74855691226,3744.4218241870403,0.06295965962553168,1281.7914348915663,49172.28471709396,38.362157351483404,-0.3176073058848564,-0.06600543767568612,0.005178299714114917,0.5710513467484255,3.0,-2892.1869592153903
30,31,Orinoco,1266,23.681,16,4399.2,763299.0069,0.576340328,,ungauged,2,0.504238947,2.339924977,,,,,,23.0,0.0002774217161749,33545.71572415687,4301.808793067932,0.5526938768990471,1301.3982707499736,36013.55230227233,27.672967693063196,-0.8993132229793714,-0.4039559552427393,2.200345285054849e-29,0.00022261867908304848,0.0,-2776.2393313172047
31,32,Parana,3818,20.608,82,15205.8,2652033.763,0.573363741,630516283.0,gauged,14,0.505136883,2.349372943,-54.2489,-24.0694,803499.562,0.4707425123167467,0.0592085798334121,24.0,0.0035413817211848,24360.311252115283,5160.857987880707,0.21864840693039594,1308.0209324615146,63465.6802908199,48.520385810176805,-0.6079526315873873,-0.5775929158875955,4.522559929696962e-09,3.8057385346789584e-08,-2.0,2577.6055632560488
32,33,Pearl,2852,19.538,52,804.8,342010.0298,0.235314736,,ungauged,11,0.516479415,2.378612844,,,,,,25.0,9.101109731420876e-05,6246.1007185156295,2330.0964765548706,0.4088230922443676,1383.039238281089,6397.822648185819,4.6259154990695395,-0.6857190701126047,-0.4088768073598966,4.303422926350624e-12,0.00020187843920273273,-1.0,1432.2463641423053
33,34,Po,3096,10.784,41,232.2,86297.10721,0.269070433,,ungauged,14,0.507146038,2.352036032,,,,,,26.0,0.0293462371313166,813.3721023620107,3030.2821159362793,0.33412552041297655,1320.841155056162,1226.2265580374499,0.928367921716757,-0.6535104776817522,-0.5157297772758432,8.817795352082294e-11,1.3502677236999841e-06,1.0,8.776937341177339
34,35,Rhine,1991,8.593,46,198.4,243513.3341,0.081473978,220434836.0,gauged,15,0.513903675,2.371054147,6.9688,50.9396,144286.016,0.7618723310660462,0.0990813846062282,27.0,0.0047607830758501,2467.1442631605896,3015.015944495797,0.4538193895903604,1365.673681423983,2303.541761376222,1.6867439072079995,-0.5412997059983559,-0.11845067452652122,4.445873797154484e-07,0.30815159609319603,3.0,40.86599304855512
35,36,Rhone,2033,9.295,42,101.5,110984.234,0.091454431,,ungauged,8,0.517670746,2.37651194,,,,,,28.0,0.0150607877363198,1115.731790450698,3413.2994736135006,0.4730907733828447,1390.4622595257479,1489.0797419440617,1.070924242454412,-0.47756574453532574,-0.0011268946204020455,1.1239260143609195e-05,0.9922393216590917,2.0,1.6212921142578125
36,37,Rio_Grande,1685,16.33,37,821.3,477443.7865,0.172020251,760327837.0,gauged,6,0.519745119,2.389737696,-104.3236,32.8404,45131.676,0.2966869276791171,0.0580862976405438,29.0,0.0544944059640107,88.11502862519843,3687.5619851350784,0.06662892738048794,1405.4311114036304,2668.530158380066,1.8987271142126312,-0.6698245515863175,-0.08639727529974459,2.7127240879669427e-11,0.4549842768722153,-2.0,2.111279190227549
37,38,Sao_Francisco,758,23.414,22,4381.0,531225.2399,0.82469726,620257200.0,gauged,3,0.520070624,2.402013031,-36.8239,-10.2139,630608.5,-0.4017486438949375,0.0605893863861098,30.0,0.1187880733490149,428.4990676147902,1351.2927372455597,0.06038424483451404,1408.9875565786385,2414.842736288697,1.7138850694696817,0.4475512076098206,0.18488407120600747,3.5428348823308475e-05,0.10285050503946731,0.0,23.890464700678347
38,39,Sebou,968,14.857,6,152.0,38888.82657,0.390857769,,ungauged,8,0.511578393,2.348177589,,,,,,,,81.20886535190407,2274.545409679413,0.058142966145668856,1348.2733839093105,416.7112298623476,0.309070278205816,-0.40388505602606173,-0.31187226784574684,0.0002699094641292176,0.005760121201123042,2.0,7.8270339658183445
39,40,Senegal,169,28.216,3,879.4,376031.6521,0.233863292,,ungauged,4,0.520836076,2.41099379,,,,,,31.0,0.0008254246324424,2507.08123918057,1125.1607098579407,0.027780315949614155,1415.0255042207946,3525.2051446700957,2.49126615326365,-0.6602391355279518,0.15646714381686966,3.609747220507245e-11,0.16849938982084944,0.0,30.119707661290324
40,41,Shatt_el_Arab,1582,18.396,32,6352.1,764107.1515,0.83131011,,ungauged,4,0.511625212,2.386288767,,,,,,34.0,0.0182465361986886,928.5369388612252,3239.6845913529396,0.008852530651516938,1352.9188852157472,6933.315984505357,5.124709293565457,-0.5954081454300527,-0.49269913227020884,7.139892517701164e-09,3.977523062222478e-06,0.0,36.1855701733661
41,42,Tana,1432,25.581,7,97.1,76838.43145,0.126369055,,ungauged,3,0.51659481,2.408101027,,,,,,33.0,0.0417233925896453,104.13929328795092,4016.6851584911346,0.06604118886422,1387.1950898271355,1923.7785205366342,1.386811800765792,-0.4387065506854717,-0.3747499640370351,5.8776773584296557e-05,0.0007239405515880499,-1.0,-8.785154691306493
42,43,Tone,3315,13.0,31,210.5,16131.5822,1.304893701,,ungauged,14,0.525470977,2.419809088,,,,,,,,938.4189003590127,1704.2993144989014,0.4510824259393561,1446.4908524694658,375.7428094782645,0.2597616216077634,0.5306260741264475,0.3288863199444319,8.201232362041264e-07,0.0037220130487301264,-3.0,-15.243504021757397
43,44,Vistula,3945,7.725,18,205.1,250846.5124,0.081763146,230281240.0,gauged,26,0.527510534,2.429579034,18.8063,54.0938,193872.234,0.7118807232558312,0.1342950970718038,36.0,0.0253394513012767,1605.6268417725394,1617.7271308898926,0.27697921687682237,1461.1790726516147,987.1373980566383,0.675575921208118,0.31774282669506304,-0.0753381446197087,0.004585705183763581,0.5121081422998803,-1.0,-46.84113697339129
44,45,Volta,1749,27.082,38,6534.5,337326.8404,1.937142029,,ungauged,3,0.520341832,2.423941754,,,,,,37.0,0.0060561087343817,4659.530510176177,702.6653999090195,0.05134863714098683,1413.3181146611312,2425.273961475178,1.7160142053770264,-0.748499834144516,-0.45957946659623716,3.3372732030082163e-15,2.30894426716184e-05,1.0,-2042.4971431609122
45,46,Yangtze,4159,11.801,377,7269.2,1803583.573,0.403042039,,ungauged,14,0.518003968,2.419757459,,,,,,38.0,0.0075282432649695,23522.756791417192,5900.4999051094055,0.35750593484581644,1397.6430992514338,33896.673796419185,24.252739354255723,-0.8245140403802262,-0.6146450330274872,1.7624869909592318e-20,2.1497292029128507e-09,-1.0,-3011.223748319893
46,47,Yellow,3597,5.69,45,1170.0,772786.6191,0.151400137,,ungauged,21,0.515138336,2.41604646,,,,,,10.0,0.031294164338517,1370.8979811576614,4966.793551802635,0.057608610490488064,1378.73517471826,3730.866824381828,2.706006848011416,-0.47297244225873686,-0.23703897758847758,1.4008404506208364e-05,0.03792456402314265,-2.0,-231.09980757518483
47,48,Yukon,842,2.0,1,92.5,1564023.052,0.005914235,800614188.0,gauged,27,,,-162.8729,61.9271,823119.875,0.4090496220988467,0.1372358252746868,,,8124.762580656534,3469.890906691551,0.5188426429944588,,2262.708897007247,,0.5767744735799707,0.12095145207929328,4.9508175743670756e-08,0.2979768025190393,-3.0,-399.88297263524856
